subest,sav,crop,riprap
BAC01,0,0.39,0
BAC01,0,0.39,0
BAC01,0,0.39,0
BAC01,0,0.39,0
BAC01,0.082081433,0.39,0
BAC01,0,0.39,0
BAC01,0,0.39,0
BAC01,0,0.39,0
BAC01,0.057266896,0.39,0
BAC01,0,0.39,0
BAC01,0,0.39,0
BAC01,0,0.39,0
BAC01,0,0.39,0
BAC01,0,0.39,0
BAC01,0,0.39,0
BAC01,0,0.39,0
BAC01,0,0.39,0
BAC01,0,0.39,0
BAC01,0,0.39,0
BAC01,0,0.39,0
BAC01,0,0.39,0
BAC01,0,0.39,0
BAC01,0,0.39,0
BAC01,0,0.39,0
BAC01,0,0.39,0
BAC01,0,0.39,0
BAC01,0,0.39,0
BAC01,0.659498365,0.39,0
BAC01,0,0.39,0
BAC01,0,0.39,0
BAC01,0,0.39,0
BAC01,0,0.39,0
BIG01,0.162196878,17.92,0
BIG01,0,17.92,0
BIG01,0.114621195,17.92,0
BIG01,0,17.92,0
BIG01,0,17.92,0
BIG01,0.022318872,17.92,0
BIG01,0,17.92,0
BIG01,0,17.92,0
BIG01,0.304790317,17.92,0
BSH01,0.262696342,9.71,0
BSH01,0.15208029,9.71,0
BSH01,0.58126039,9.71,0
BSH01,0.996603987,9.71,0
BSH01,0.022814915,9.71,0
BSH01,0.060424443,9.71,0
BSH01,0.410427472,9.71,0
BSH01,0.303149222,9.71,0
BSH01,0.277925681,9.71,0
BSH01,0.99562365,9.71,0
BSH01,0.7731271,9.71,0
CB101,0.539721891,1.37,0
CB202,0.574341197,52.6,0
CB202,0.007084254,52.6,0
CB202,0.251241651,52.6,0
CB202,0.562067361,52.6,0
CB202,0.545462672,52.6,0
CB202,0.575448228,52.6,0
CB202,0.16889726,52.6,0
CB202,0.564043056,52.6,0
CB202,0.695300853,52.6,0
CB202,0.041836163,52.6,0
CB203,0,55.31,0
CB203,0,55.31,0
CB203,0,55.31,0
CB204,0,53.15,0
CB204,0,53.15,0
CB204,0,53.15,0
CB204,0,53.15,0
CB204,0.022251567,53.15,0
CB301,0.057047564,45.08,0
CB401,0.716019889,18.1,0
CB401,0.087765462,18.1,0
CB402,0,13.88,0
CB402,0,13.88,0
CB402,0,13.88,0
CB402,0,13.88,0
CB402,0,13.88,0
CB402,0,13.88,0
CB402,0,13.88,0
CB402,0,13.88,0
CB402,0,13.88,0
CB402,0,13.88,0
CB402,0,13.88,0
CB402,0,13.88,0
CB402,0,13.88,0
CB402,0,13.88,0
CB402,0,13.88,0
CB403,0,1.84,0
CB403,0,1.84,0
CB403,0,1.84,0
CB403,0,1.84,0
CB403,0,1.84,0
CB403,0,1.84,0
CB403,0,1.84,0
CB403,0,1.84,0
CB403,0,1.84,0
CB403,0,1.84,0
CB403,0,1.84,0
CB403,0,1.84,0
CB403,0,1.84,0
CB404,0,13.69,0
CB404,0,13.69,0
CB404,0,13.69,0
CB404,0,13.69,0
CB404,0,13.69,0
CB501,0,24.02,0
CB501,0,24.02,0
CB502,0,22.97,0
CB502,0,22.97,0
CB502,0,22.97,0
CB502,0,22.97,0
CB502,0,22.97,0
CB502,0,22.97,0
CB502,0,22.97,0
CB502,0,22.97,0
CB502,0,22.97,0
CB502,0,22.97,0
CB502,0,22.97,0
CB502,0,22.97,0
CB502,0,22.97,0
CB502,0,22.97,0
CB502,0,22.97,0
CB502,0,22.97,0
CB502,0,22.97,0
CB502,0,22.97,0
CB502,0,22.97,0
CB502,0,22.97,0
CB502,0,22.97,0
CB502,0,22.97,0
CB502,0,22.97,0
CB502,0,22.97,0
CB502,0,22.97,0
CB502,0,22.97,0
CB502,0,22.97,0
CB502,0,22.97,0
CB502,0,22.97,0
CB502,0,22.97,0
CB502,0,22.97,0
CB502,0,22.97,0
CB502,0,22.97,0
CB502,0,22.97,0
CB502,0,22.97,0
CB502,0,22.97,0
CB502,0,22.97,0
CB502,0,22.97,0
CB502,0,22.97,0
CB502,0,22.97,0
CB502,0,22.97,0
CB502,0,22.97,0
CB502,0,22.97,0
CB502,0,22.97,0
CB502,0,22.97,0
CB502,0,22.97,0
CB502,0,22.97,0
CB502,0,22.97,0
CB502,0,22.97,0
CB502,0,22.97,0
CB502,0,22.97,0
CB502,0,22.97,0
CB502,0,22.97,0
CB502,0,22.97,0
CB502,0,22.97,0
CB502,0,22.97,0
CB502,0,22.97,0
CB502,0,22.97,0
CB503,0,13.07,0
CB503,0.049969233,13.07,0
CB503,0.275920099,13.07,0
CB503,0.09421724,13.07,0
CB503,0,13.07,0
CB503,0,13.07,0
CB503,0,13.07,0
CB503,0,13.07,0
CB503,0,13.07,0
CB503,0,13.07,0
CB503,0,13.07,0
CB503,0,13.07,0
CB503,0.011695844,13.07,0
CB503,0,13.07,0
CB503,0,13.07,0
CB503,0,13.07,0
CB503,0,13.07,0
CB503,0,13.07,0
CB503,2.92E-05,13.07,0
CB503,0,13.07,0
CB503,0,13.07,0
CB503,0,13.07,0
CB503,0.0944099,13.07,0
CB503,0,13.07,0
CB503,0,13.07,0
CB503,0,13.07,0
CB503,0.059106949,13.07,0
CB503,0.007294194,13.07,0
CB503,0,13.07,0
CB503,0,13.07,0
CB503,0,13.07,0
CB503,0,13.07,0
CB503,0,13.07,0
CB503,0.210974746,13.07,0
CB503,0,13.07,0
CB503,0,13.07,0
CB503,0,13.07,0
CB503,0,13.07,0
CB503,0.808049337,13.07,0
CB503,0,13.07,0
CB503,0.002282178,13.07,0
CB503,0,13.07,0
CB503,0.159142078,13.07,0
CB503,0,13.07,0
CB503,0,13.07,0
CB503,0,13.07,0
CB503,0,13.07,0
CB503,0.39756589,13.07,0
CB503,0,13.07,0
CB503,0.172582632,13.07,0
CB503,0.023558566,13.07,0
CB503,0,13.07,0
CB503,0,13.07,0
CB503,0,13.07,0
CB503,0.356577478,13.07,0
CB503,0.082235403,13.07,0
CB503,0,13.07,0
CB503,0,13.07,0
CB503,0,13.07,0
CB503,0.091489833,13.07,0
CB503,0,13.07,0
CB503,0,13.07,0
CB503,0,13.07,0
CB503,0,13.07,0
CB503,0.757976159,13.07,0
CB503,0,13.07,0
CB503,0.030443431,13.07,0
CB503,0,13.07,0
CB503,0.237869673,13.07,0
CB503,0,13.07,0
CB503,0,13.07,0
CB503,0,13.07,0
CB503,0,13.07,0
CB503,0,13.07,0
CB503,0,13.07,0
CB503,0,13.07,0
CB503,0,13.07,0
CB504,0,22.08,0
