row,regNDVI ,coverNT,propMT,propCFP,propWTD,lat,long
92,0.5687,21.74285714,0.156862745,0.392156863,0.078431373,34.737075,-120.047575
93,0.6757,5.125,0.186046512,0.348837209,0.023255814,39.47158417,-122.6510333
94,0.722,47.66785714,0.101851852,0.305555556,0.009259259,38.87550833,-120.8159333
95,0.3894,25.28571429,0.133333333,0.333333333,0.083333333,36.81474167,-119.3703167
96,0.7021,26.28035714,0.069444444,0.263888889,0,40.85391667,-122.8607417
97,0.7329,73.17142857,0.052631579,0.118421053,0.039473684,41.73825,-123.0733833
98,0.5974,11.83928571,0.19047619,0.285714286,0.071428571,38.174,-122.4880833
99,0.8,69.75142857,0.078947368,0.039473684,0.052631579,41.91356667,-123.5541333
100,0.7988,108.2142857,0.171875,0.3125,0.03125,40.712675,-123.5195667
101,0.5284,65.32142857,0.217391304,0.260869565,0.152173913,34.8625,-120.5923333
102,0.676,23.14714286,0.08,0.266666667,0.04,39.35715,-120.8100083
103,0.6449,70.82142857,0.09375,0.21875,0.09375,35.89385,-121.460075
104,0.7199,31.66964286,0.087719298,0.245614035,0.035087719,39.5098,-121.1866917
105,0.7137,23.165,0.192982456,0.245614035,0.087719298,38.15816667,-122.83475
106,0.5466,1.232142857,0.27027027,0.297297297,0.081081081,39.14095,-122.4753333
107,0.6222,36.06071429,0.019230769,0.230769231,0.115384615,41.686275,-122.7015
108,0.756,66.87857143,0.108695652,0.195652174,0,40.19125,-123.4682583
109,0.756,23.34285714,0.139534884,0.372093023,0.046511628,40.20028417,-123.37135
